id,account_type,username,email,password
1,domainname.com,johnDoe45,johndoe@email.com,strongpass123456
2,secondacc.org,lucy56,lucy56@sec.com,strongPass123424,
24,github,k_marx,marx@commie.com,41SzC)H8lQKn

65,guuglyse.nets,davikstykszdoff,Davijjsghstudsmirnof@mail.com,4GIh9kEw02*O
2ygf,sjsyjysondacc.orgf,syjsyjjsyy5hsyjgxysj6,sjxjymhs6xsyj@sec.com,x&7fXa$SMXo%
2ygf,sjsyjysondacc.orgf,syjsyjjsyy5hsyjgxysj6,sjxjymhs6xsyj@sec.com,7a&1h5kC!n!E
3,icecream3.com,johannesdoe123,Johannes@mail.com,B#R+y9t(epj#
4,youtubes.org,Hermione,harrypotter@gmail.com,)&n5$!iO9on6
8,youtubes.org,ronald,ronweasly@gmail.com,F0l#$5H8&J03
10,harry,hpotter,harrypotter@testable.com,s**E#f264$2!
11,tutanota.com,AnnieSatallman,astallman@hotmail.com,6m)5aN+1&+o)
14,dall-e.net,Marywollstonecraft,wollstonecraft@proton.com,b&UCbMj#8hk5
12,watchdogs.net,Marcus_h,retro@ubi.com,7N2Y#Rg8eTxQ
32,icecream.com,BrianYu123,briany_@harvard.edu,N0kvXWXi3Ik&
6,guugle.nets,davidoff,Davidsmirnof@mail.com,O8ISAHE%o9Cj
17,Godreads,Fred_N,thusspokefrederich@mail.com,beyondAndSoOn
13,genysisA.,turner,turner@tuta.co.uk,someotherbadpass
